date,nav,dd
2023-01-03,999137.6859459261,-0.08623140540738872
2023-01-17,1007006.0685774977,0.0
2023-02-07,987621.3456388309,-1.924985711958005
2023-02-21,1009653.4815736569,0.0
2023-03-07,1013025.340204817,0.0
2023-03-21,1054655.2860766838,0.0
2023-04-04,1088665.8032074887,0.0
2023-04-19,1104392.6323573338,0.0
2023-05-08,1157692.4258851479,0.0
2023-05-22,1082415.5664101602,-6.502319423696024
2023-06-05,1047768.5151508922,-9.495087665466073
2023-06-19,1167273.249530404,0.0
2023-07-05,1151676.3400728903,-1.3361832341988844
2023-07-19,1147741.8064344672,-1.673253722193535
2023-08-02,1153176.4351310208,-1.2076704751911693
2023-08-16,1219683.5031888762,0.0
2023-08-30,1167740.5445509122,-4.258724374164158
2023-09-13,1189166.605177219,-2.5020341696735615
2023-09-27,1221840.293457074,0.0
2023-10-19,1299112.03977218,0.0
2023-11-02,1357639.19136609,0.0
2023-11-16,1351743.9479540556,-0.43422755099625787
2023-11-30,1361413.6004259945,0.0
2023-12-14,1370477.3729584925,0.0
2023-12-28,1348237.9876711513,-1.6227473525763036
2024-01-12,1315977.2249164116,-3.9767273154192817
2024-01-26,1308540.7692800434,-4.519345222369086
2024-02-19,1328003.1069870754,-3.0992314655824305
2024-03-04,1437921.1551702046,0.0
2024-03-18,1532924.9291789816,0.0
2024-04-01,1492762.256925779,-2.620002551247791
2024-04-17,1519741.438361725,-0.8600219466922909
2024-05-06,1555036.3538416112,0.0
2024-05-20,1547320.9273553032,-0.496157306370848
2024-06-03,1462866.545838572,-5.927180273010335
2024-06-18,1502207.1204724503,-3.397298927362691
2024-07-02,1415100.5028914772,-8.998879711360575
2024-07-16,1388220.3747760074,-10.727464901608009
2024-07-30,1316522.7123609574,-15.338139259022599
2024-08-13,1298137.8563688183,-16.52041747050753
2024-08-27,1265101.9496811356,-18.644863410698566
2024-09-10,1236641.7923403394,-20.475055821987688
2024-09-26,1327070.3393882043,-14.659851127610779
2024-10-17,1472578.9246208018,-5.3026045993782684
2024-10-31,1543095.1228070837,-0.7679068727253546
2024-11-14,1656657.2992426096,0.0
2024-11-28,1563363.3268352656,-5.631458748287665
2024-12-12,1616438.9575006538,-2.4276802305668643
2024-12-26,1575484.5027716046,-4.899794091881016
2025-01-10,1462505.4786820887,-11.719492054831338
2025-01-24,1544483.2009677356,-6.771110616912612
2025-02-17,1676707.3984381608,0.0
