date,code,action,price,shares,pnl,fee,reason
2023-01-03,600050,buy,4.5206128,22100,0.0,99.90554288000001,
2023-01-03,600276,buy,37.97902752,2600,0.0,98.745471552,
2023-01-03,600027,buy,5.78279542,17200,0.0,99.46408122400001,
2023-01-03,600161,buy,19.8933169,5000,0.0,99.4665845,
2023-01-03,600036,buy,31.3843733,3100,0.0,97.29155723000001,
2023-01-03,600436,buy,274.03816428,300,0.0,82.211449284,
2023-01-03,600160,buy,15.3299055,6500,0.0,99.64438575,
2023-01-03,600233,buy,18.70094034,5300,0.0,99.11498380199998,
2023-01-03,600066,buy,6.1368363,16200,0.0,99.41674806,
2023-01-03,600026,buy,11.69194006,8500,0.0,99.38149051,
2023-01-17,600050,sell,4.538952,22100,304.98548079999455,100.3108392,
2023-01-17,600027,sell,4.92476086,17200,-14842.900318792003,84.705886792,
2023-01-17,600161,sell,20.14657884,5000,1165.5768057999958,100.7328942,
2023-01-17,600233,sell,19.86155926,5300,6046.014011922001,105.26626407799999,
2023-01-17,600066,sell,6.4619667,16200,5162.428619459999,104.68386054,
2023-01-17,600030,buy,20.10802668,5100,0.0,102.550936068,
2023-01-17,600025,buy,6.24148712,16600,0.0,103.60868619200001,
2023-01-17,600009,buy,61.49289865,1600,0.0,98.38863784,
2023-01-17,600377,buy,7.33606118,14100,0.0,103.438462638,
2023-01-17,600482,buy,15.10919487,6800,0.0,102.74252511600001,
2023-02-07,600036,sell,32.07753535,3100,2049.361995414991,99.440359585,
2023-02-07,600436,sell,286.6067739,300,3684.6008538300084,85.98203217000001,
2023-02-07,600030,sell,19.4293924,5100,-3560.124729239993,99.08990124,
2023-02-07,600025,sell,6.28848627,16600,675.7970179179974,104.388872082,
2023-02-07,600009,sell,58.9799912,1600,-4115.019905919995,94.36798592000001,
2023-02-07,600482,sell,15.73588863,6800,4154.513525315997,107.004042684,
2023-02-07,600372,buy,17.60288688,5600,0.0,98.576166528,
2023-02-07,600066,buy,6.9496623,14300,0.0,99.38017089,
2023-02-07,600161,buy,18.57798876,5300,0.0,98.463340428,
2023-02-07,600183,buy,15.18963158,6500,0.0,98.73260527000001,
2023-02-07,600219,buy,3.12189245,31900,0.0,99.588369155,
2023-02-07,600018,buy,4.78647312,20800,0.0,99.558640896,
2023-02-21,600276,sell,43.966356,2600,15452.741522399985,114.3125256,
2023-02-21,600160,sell,17.1810639,6500,11920.852684650003,111.67691535000002,
2023-02-21,600026,sell,14.10839826,8500,20419.973314789997,119.92138521,
2023-02-21,600377,sell,7.24724688,14100,-1354.4678110079985,102.186181008,
2023-02-21,600372,sell,16.89215085,5600,-4074.717812759991,94.59604476000001,
2023-02-21,600161,sell,18.73321382,5300,723.4067847539991,99.28603324599999,
2023-02-21,600183,sell,16.3502705,6500,7437.876221750004,106.27675825,
2023-02-21,600018,sell,4.81366899,20800,465.5497810079978,100.124314992,
2023-02-21,600415,buy,5.09285224,20800,0.0,105.931326592,
2023-02-21,600050,buy,5.0157712,21100,0.0,105.83277231999999,
2023-02-21,600031,buy,18.16855506,5800,0.0,105.377619348,
2023-02-21,600438,buy,36.96560704,2800,0.0,103.503699712,
2023-02-21,600233,buy,17.07232992,6200,0.0,105.84844550400001,
2023-02-21,600036,buy,32.31137315,3200,0.0,103.39639408000001,
2023-02-21,600019,buy,5.90274867,18000,0.0,106.24947606,
2023-02-21,600426,buy,35.06381208,3000,0.0,105.19143624,
2023-03-07,600219,sell,3.06202054,31900,-2007.592384226009,97.678455226,
2023-03-07,600415,sell,4.91232203,20800,-3857.204666223988,102.17629822400002,
2023-03-07,600031,sell,17.17805751,5800,-5844.518523557999,99.632733558,
2023-03-07,600438,sell,36.11622976,2800,-2479.3818273279903,101.12544332800002,
2023-03-07,600233,sell,16.5668991,6200,-3236.385858420006,102.71477442,
2023-03-07,600019,sell,5.97397339,18000,1174.5134389799932,107.53152102,
2023-03-07,600426,sell,32.53693883,3000,-7678.230566490005,97.61081649,
2023-03-07,600028,buy,4.53744432,22500,0.0,102.0924972,
2023-03-07,600377,buy,7.66467409,13300,0.0,101.940165397,
2023-03-07,600482,buy,16.60738464,6100,0.0,101.305046304,
2023-03-07,600489,buy,8.70680678,11700,0.0,101.86963932600001,
2023-03-07,600018,buy,4.91338718,20800,0.0,102.198453344,
2023-03-07,600015,buy,4.43456184,23000,0.0,101.99492232,
2023-03-07,600161,buy,18.6270072,5400,0.0,100.58583888000001,
2023-03-21,600066,sell,7.99820784,14300,14879.826849888006,114.374372112,
2023-03-21,600050,sell,5.1166368,21100,2020.3031235200178,107.96103648000002,
2023-03-21,600036,sell,28.58667105,3200,-12010.524067360006,91.47734736,
2023-03-21,600028,sell,4.80486024,22500,5908.748844600006,108.1093554,
2023-03-21,600377,sell,7.79789554,13300,1668.1332743179955,103.712010682,
2023-03-21,600482,sell,16.49967165,6100,-757.6972360649961,100.647997065,
2023-03-21,600015,sell,4.4098338,23000,-670.171097399987,101.42617740000001,
2023-03-21,600276,buy,41.1011328,2500,0.0,102.75283200000001,
2023-03-21,600025,buy,6.65507964,15600,0.0,103.819242384,
2023-03-21,600406,buy,21.27361608,4900,0.0,104.240718792,
2023-03-21,600436,buy,271.6441434,300,0.0,81.49324302000001,
2023-03-21,600009,buy,54.8732942,1900,0.0,104.25925898,
2023-03-21,600372,buy,17.47631745,5900,0.0,103.110272955,
2023-03-21,600023,buy,3.4918656,29800,0.0,104.05759488000001,
2023-04-04,600018,sell,5.03123595,20800,2346.6047082400037,104.64970776000001,
2023-04-04,600161,sell,20.6694422,5400,10917.534012119984,111.61498788,
2023-04-04,600025,sell,6.55168151,15600,-1715.217059556002,102.206231556,
2023-04-04,600406,sell,20.9542392,4900,-1667.6224840799987,102.67577208,
2023-04-04,600009,sell,55.95863555,1900,1955.8271574550017,106.321407545,
2023-04-04,600372,sell,17.35948413,5900,-791.7375443670026,102.42095636699999,
2023-04-04,600460,buy,37.87683445,2800,0.0,106.05513646,
2023-04-04,600066,buy,9.61573158,11300,0.0,108.657766854,
2023-04-04,600415,buy,5.78646831,18800,0.0,108.785604228,
2023-04-04,600030,buy,19.58743052,5500,0.0,107.73086786000002,
2023-04-04,600085,buy,53.83400116,2000,0.0,107.66800232,
2023-04-04,600196,buy,32.0352445,3400,0.0,108.9198313,
2023-04-19,600489,sell,10.94384349,11700,26045.286538166998,128.042968833,
2023-04-19,600436,sell,264.46208076,300,-2233.957416228004,79.338624228,
2023-04-19,600460,sell,37.61801771,2800,-830.0173215880059,105.330449588,
2023-04-19,600030,sell,19.96858128,5500,1986.5019829599914,109.82719704,
2023-04-19,600085,sell,52.2484007,2000,-3275.697721400007,104.4968014,
2023-04-19,600196,sell,32.0834178,3400,54.705599480003,109.08362052,
2023-04-19,600036,buy,29.6472925,3600,0.0,106.730253,
2023-04-19,600015,buy,4.739541,22500,0.0,106.6396725,
2023-04-19,600161,buy,22.04195852,4800,0.0,105.801400896,
2023-04-19,600000,buy,6.74563755,15800,0.0,106.58107329,
2023-04-19,600176,buy,14.5235688,7300,0.0,106.02205224,
2023-04-19,600362,buy,19.43138225,5500,0.0,106.87260237499999,
2023-05-08,600276,sell,45.95225208,2500,12012.917569799989,114.8806302,
2023-05-08,600023,sell,4.3011782,29800,23989.34036963999,128.17511036,
2023-05-08,600015,sell,5.1928884,22500,10083.476511,116.839989,
2023-05-08,600161,sell,22.25437176,4800,912.7625675519957,106.820984448,
2023-05-08,600000,sell,7.22938845,15800,7529.039882490004,114.22433751,
2023-05-08,600176,sell,13.96637528,7300,-4169.467235543998,101.954539544,
2023-05-08,600362,sell,18.93990935,5500,-2807.270451424978,104.169501425,
2023-05-08,600016,buy,3.66690276,30700,0.0,112.573914732,
2023-05-08,600482,buy,18.85956534,5900,0.0,111.271435506,
2023-05-08,600377,buy,9.49424867,11800,0.0,112.03213430599999,
2023-05-08,600030,buy,21.09344084,5300,0.0,111.795236452,
2023-05-08,600150,buy,27.28660448,4100,0.0,111.875078368,
2023-05-08,600436,buy,290.74804389,300,0.0,87.22441316700001,
2023-05-08,600061,buy,7.4835846,15000,0.0,112.253769,
2023-05-22,600066,sell,11.0557314,11300,16147.068201180009,124.92976482000002,
2023-05-22,600415,sell,7.82931016,18800,38258.235748992025,147.191031008,
2023-05-22,600036,sell,28.561617,3600,-4011.2536212000123,102.82182119999999,
2023-05-22,600016,sell,3.34480995,30700,-9990.93493246501,102.685665465,
2023-05-22,600377,sell,8.44623993,11800,-12466.168763173977,99.66563117400001,
2023-05-22,600030,sell,19.8012468,5300,-6953.5750200399925,104.94660804000002,
2023-05-22,600061,sell,7.0360929,15000,-6817.916893500005,105.5413935,
2023-05-22,600346,buy,14.83971972,7800,0.0,115.749813816,
2023-05-22,600276,buy,48.1159896,2400,0.0,115.47837504,
2023-05-22,600011,buy,9.0537216,12800,0.0,115.88763647999998,
2023-05-22,600161,buy,22.058298,5200,0.0,114.7031496,
2023-05-22,600406,buy,21.67088976,5300,0.0,114.855715728,
2023-05-22,600025,buy,7.08747182,16400,0.0,116.23453784800002,
2023-05-22,600233,buy,15.32204171,7600,0.0,116.447516996,
2023-06-05,600482,sell,18.02723769,5900,-5017.093837371009,106.36070237099999,
2023-06-05,600150,sell,28.24316416,4100,3806.0977149440005,115.796973056,
2023-06-05,600436,sell,289.0201014,300,-605.0887774200091,86.70603041999999,
2023-06-05,600011,sell,9.31778848,12800,3260.7883714560157,119.26769254400001,
2023-06-05,600406,sell,20.837394,5300,-4527.965716200008,110.43818820000001,
2023-06-05,600025,sell,6.85247607,16400,-3966.3109075480024,112.380607548,
2023-06-05,600233,sell,14.5077365,7600,-6298.978393400015,110.25879739999999,
2023-06-05,600415,buy,8.77921128,12400,0.0,108.862219872,
2023-06-05,600183,buy,14.45160308,7500,0.0,108.38702310000001,
2023-06-05,600023,buy,4.7103812,23200,0.0,109.28084383999999,
2023-06-05,600029,buy,5.89,18500,0.0,108.965,
2023-06-05,600036,buy,27.5928604,3900,0.0,107.61215556,
2023-06-05,600309,buy,81.2263855,1300,0.0,105.59430115000002,
2023-06-05,600196,buy,29.385713,3700,0.0,108.7271381,
2023-06-19,600346,sell,13.56588413,7800,-10041.73149821398,105.81389621400001,
2023-06-19,600161,sell,21.8132058,5200,-1387.9081101600168,113.42867016,
2023-06-19,600415,sell,8.89409736,12400,1314.3005847360037,110.286807264,
2023-06-19,600023,sell,4.3375518,23200,-8750.27328175999,100.63120176,
2023-06-19,600029,sell,6.25,18500,6544.375,115.625,
2023-06-19,600036,sell,28.0438333,3900,1649.423360129993,109.37094987,
2023-06-19,600309,sell,88.3397021,1300,9132.469967269979,114.84161273,
2023-06-19,600196,sell,30.1083125,3700,2562.2173937500047,111.40075625000001,
2023-06-19,600031,buy,16.0659358,6900,0.0,110.85495701999999,
2023-06-19,600150,buy,29.7322416,3700,0.0,110.00929392,
2023-06-19,600233,buy,14.01304671,7900,0.0,110.703069009,
2023-06-19,600026,buy,12.42617159,8900,0.0,110.592927151,
2023-06-19,600160,buy,13.08344765,8400,0.0,109.90096026,
2023-06-19,600426,buy,28.94170188,3800,0.0,109.97846714399999,
2023-06-19,600362,buy,17.33807175,6400,0.0,110.96365920000001,
2023-06-19,600406,buy,21.8500524,5000,0.0,109.250262,
2023-07-05,600183,sell,14.51806906,7500,389.60933205000765,108.88551795000001,
2023-07-05,600031,sell,15.90384624,6900,-1228.1545030559937,109.736539056,
2023-07-05,600150,sell,30.55074112,3700,2915.410481856001,113.037742144,
2023-07-05,600233,sell,14.48871021,7900,3643.2808393410087,114.46081065900002,
2023-07-05,600026,sell,12.46334787,8900,219.94509595699492,110.923796043,
2023-07-05,600426,sell,29.63034081,3800,2504.232638921996,112.59529507799999,
2023-07-05,600362,sell,17.6748217,6400,2042.080821119991,113.11885888,
2023-07-05,600406,sell,22.5178025,5000,3226.161487499994,112.5890125,
2023-07-05,600111,buy,26.35010631,4200,0.0,110.670446502,
2023-07-05,600010,buy,1.91,58900,0.0,112.49900000000001,
2023-07-05,600482,buy,21.57197427,5200,0.0,112.17426620399999,
2023-07-05,600066,buy,13.11771305,8500,0.0,111.50056092500002,
2023-07-05,600188,buy,12.35066099,9100,0.0,112.391015009,
2023-07-05,600161,buy,21.04525024,5300,0.0,111.53982627200001,
2023-07-05,600036,buy,27.58450905,4000,0.0,110.3380362,
2023-07-05,600029,buy,6.33,17700,0.0,112.041,
2023-07-19,600276,sell,46.29285486,2400,-4486.626227664005,111.102851664,
2023-07-19,600111,sell,23.86330881,4200,-10544.775397002013,100.225897002,
2023-07-19,600010,sell,1.81,58900,-5996.608999999997,106.60900000000001,
2023-07-19,600482,sell,22.13991549,5200,2838.166783452005,115.12756054799999,
2023-07-19,600066,sell,12.48595697,8500,-5476.057314245001,106.13063424500001,
2023-07-19,600188,sell,12.2792268,9100,-761.7920928800013,111.74096388,
2023-07-19,600161,sell,20.30916828,5300,-4008.8729798839922,107.63859188400001,
2023-07-19,600029,sell,6.52,17700,3247.5959999999905,115.40399999999998,
2023-07-19,600050,buy,4.8359195,22700,0.0,109.77537265000001,
2023-07-19,600489,buy,10.70405432,10200,0.0,109.18135406399999,
