date,code,action,price,shares,pnl,reason
2023-01-03,600050,buy,4.5206128,22100,0.0,
2023-01-03,600027,buy,5.78279542,17200,0.0,
2023-01-03,600436,buy,274.03816428,300,0.0,
2023-01-03,600276,buy,37.97902752,2600,0.0,
2023-01-03,600161,buy,19.8933169,5000,0.0,
2023-01-03,600309,buy,87.1816176,1100,0.0,
2023-01-03,600085,buy,43.39387283,2300,0.0,
2023-01-03,600026,buy,11.69194006,8500,0.0,
2023-01-03,600011,buy,7.45988936,13400,0.0,
2023-01-03,600406,buy,19.56767616,5100,0.0,
2023-01-17,600027,sell,4.92476086,17200,-14758.194432000004,
2023-01-17,600161,sell,20.14657884,5000,1266.309699999998,
2023-01-17,600309,sell,90.2480706,1100,3373.0983000000124,
2023-01-17,600085,sell,44.31084659,2300,2109.039647999991,
2023-01-17,600011,sell,6.58281008,13400,-11752.862352000011,
2023-01-17,600406,sell,21.1879296,5100,8263.292543999996,
2023-01-17,600025,buy,6.24148712,16200,0.0,
2023-01-17,600009,buy,61.49289865,1600,0.0,
2023-01-17,600015,buy,4.26146556,23700,0.0,
2023-01-17,600023,buy,3.18269,31800,0.0,
2023-01-17,600377,buy,7.33606118,13800,0.0,
2023-01-17,600150,buy,23.30258272,4300,0.0,
2023-02-07,600050,sell,4.6031392,22100,1823.8334400000022,
2023-02-07,600436,sell,286.6067739,300,3770.582886000004,
2023-02-07,600025,sell,6.28848627,16200,761.3862300000037,
2023-02-07,600009,sell,58.9799912,1600,-4020.6519199999893,
2023-02-07,600015,sell,4.2449802,23700,-390.70303200001945,
2023-02-07,600023,sell,3.3736514,31800,6072.5725200000015,
2023-02-07,600150,sell,23.26313696,4300,-169.6167679999926,
2023-02-07,600372,buy,17.60288688,5600,0.0,
2023-02-07,600219,buy,3.12189245,31800,0.0,
2023-02-07,600309,buy,92.50309296,1000,0.0,
2023-02-07,600111,buy,28.76164928,3400,0.0,
2023-02-07,600161,buy,18.57798876,5300,0.0,
2023-02-07,600016,buy,2.84102376,35000,0.0,
2023-02-07,600039,buy,7.43224468,13300,0.0,
2023-02-21,600276,sell,43.966356,2600,15567.05404799999,
2023-02-21,600026,sell,14.10839826,8500,20539.89469999999,
2023-02-21,600377,sell,7.24724688,13800,-1225.6373400000011,
2023-02-21,600372,sell,16.89215085,5600,-3980.1217679999972,
2023-02-21,600111,sell,29.42340426,3400,2249.9669320000103,
2023-02-21,600161,sell,18.73321382,5300,822.6928179999959,
2023-02-21,600016,sell,2.85754134,35000,578.1152999999904,
2023-02-21,600039,sell,7.5034234,13300,946.6769760000025,
2023-02-21,600066,buy,8.11200348,12900,0.0,
